Company,Country
TEXHOMA ENERGY INC,US
BAKER HUGHES INC,US
KIANTONE PIPELINE CO,US
PDVSA FINANCE LTD,KY
TURNER VALLEY OIL & GAS INC,US
TAG OIL LTD,CA
NEWFIELD EXPLORATION CO,US
STAR ENERGY CORP,US
Sabine Production Partners LP,US
Velocity Energy Inc,US
Bois d Arc Energy Inc,US
RIDGEWOOD ENERGY V FUND LLC,US
CGG HOLDING (U.S.) INC,FR
Pegasi Energy Resources Corp.,US
HALLIBURTON CO,US
ULTRA PETROLEUM CORP,US
TRANSTEXAS GAS CORP,US
PVR LAVERNE GAS PROCESSING LLC,US
PVR HYDROCARBONS LLC,US
PVR GAS GATHERING LLC,US
ENCORE ACQUISITION CO,US
American Energy Capital Partners LP,US
PACIFIC RODERA VENTURES INC,CA
QUANTITATIVE ALPHA TRADING INC,CA
Petrocorp Inc,US
NORSTRA ENERGY INC,US
Industrial Enterprises of America Inc,US
TUNDRA RESOURCES INC,US
SHELL TRANSPORT & TRADING CO PLC,GB
SHELL OIL CO,US
New Forest Oil Inc,US
CASPIAN SERVICES INC,US
PORTAGE BIOTECH INC,CA
NORTH SPRINGS RESOURCES CORP,US
PEMEX REFINING,MX
WICHITA RIVER OIL CORP,US
Marathon Petroleum Corp,US
MDS Energy Public 2013 Program,US
ADINO ENERGY CORP,US
Springbank Resources Inc,US
Mammoth Energy Partners LP,US
Rudy 45,US
ZaZa Energy Corp,US
STERLING DRILLING FUND 1983 1,US
NYCAL CORP,US
GEODYNE RESOURCES INC,US
CRIMSON EXPLORATION INC,US
ICAHN ENTERPRISES LP,US
EP Energy Corp,US
IMPERIAL PETROLEUM INC,US
BONANZA OIL & GAS INC,US
SEVEN J STOCK FARM INC,US
Blackbird Petroleum Corp,US
DEEP WELL OIL & GAS INC,US
Advantage Disposal Solutions Inc,US
NEG Inc,US
SANTA FE ENERGY TRUST,US
MEWBOURNE ENERGY PARTNERS 04 A LP,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP I F,US
Quicksilver Production Partners LP,US
PETROCAL INC,US
STRATUM HOLDINGS INC,US
FRONT RANGE HIMALAYA CORP,US
ADAMS RESOURCES & ENERGY INC,US
BEEHNER JIM,US
SOUTH TEXAS OIL CO,US
BUCYRUS INTERNATIONAL INC,US
LONE OAK ACQUISITION CORP,US
FTS International LLC,US
Trans Pacific Aerospace Co Inc,US
HYDRIL CO,US
NOBLE CORP,US
ADVANTAGE ENERGY INCOME FUND,CA
GEODYNE INSTITUTIONAL PENSION ENERGY INC LTD PARTNERSHIP P 7,US
GEODYNE INSTITUTIONAL PENSION ENERGY INC LTD PARTNERSHIP P 8,US
Antero Resources LLC,US
Precision Drilling Co LP,US
BreitBurn Energy Partners LP,US
Atlas America Public #15 2006 (B) LP,US
DEEPTECH INTERNATIONAL INC,US
Black Ridge Oil & Gas Inc,US
FIRST SEISMIC CORP,US
SOUTHWEST ROYALTIES INC,US
AURORA ENERGY LTD,US
WARD LAKE DRILLING INC,US
KCS ENERGY SERVICES INC,US
COASTAL PACIFIC MINING CORP,CA
FOOTHILLS RESOURCES INC,GB
ALTEX INDUSTRIES INC,US
Statoil Petroleum AS,NO
QUEST RESOURCE CORP,US
UNITED ENERGY CORP,US
HOUSTON EXPLORATION CO,US
Mining Oil Inc,US
TITAN EXPLORATION INC,US
